peak_hour,year,season,community,num_stations,total_docks,docks_in_service,available_docks,available_bikes,percent_full
No,2013,Fall,ARMOUR SQUARE,4,12.619042861424717,12.613210719844453,7.360768937291439,5.252441782553014,41.64238510888675
No,2013,Fall,BRIDGEPORT,7,13.285714285714286,13.280252263516877,6.995870241105696,6.28438202241118,47.32125488064298
No,2013,Fall,DOUGLAS,9,13.134121876613833,13.13218527787709,7.588794860559841,5.54339041731725,42.21224647702639
No,2013,Fall,EDGEWATER,1,15,15,6.9590970049173,8.0409029950827,53.606019967217996
No,2013,Fall,GRAND BOULEVARD,6,14.342248223986628,14.29424363851378,8.557341611938316,5.736902026575463,40.13435178282681
No,2013,Fall,HYDE PARK,5,14.927575789224155,14.920539556425386,8.641015629424244,6.279523927001142,42.086439992694004
No,2013,Fall,KENWOOD,4,13.893993564533428,13.893993564533428,8.011807966105362,5.882185598428068,42.33617621245527
No,2013,Fall,LAKE VIEW,34,16.24161155735973,16.23280940694062,8.628768075971106,7.604041330969516,46.843655588774894
No,2013,Fall,LINCOLN PARK,36,16.082070372537345,16.07225745493678,8.527781434300785,7.544476020635995,46.940985370531266
No,2013,Fall,LINCOLN SQUARE,7,15.512998620971448,15.493999706714055,7.96056437431977,7.533435332394284,48.62163079253062
No,2013,Fall,LOGAN SQUARE,12,14.66656983672983,14.663277850718705,8.370012298498137,6.293265552220567,42.91854533679255
No,2013,Fall,LOOP,27,22.996537295250203,23.017101480733587,14.467105238786905,8.549996241946683,37.14627686332894
No,2013,Fall,LOWER WEST SIDE,13,14.07609801710624,14.072800997492674,7.874871436128306,6.197929561364369,44.04190439748734
No,2013,Fall,NEAR NORTH SIDE,34,19.415009189343273,19.405257730282965,11.21936283632436,8.185894893958606,42.183901949336494
No,2013,Fall,NEAR SOUTH SIDE,11,16.40789813446596,16.404526061479615,9.362978698138647,7.041547363340968,42.92441815722808
No,2013,Fall,NEAR WEST SIDE,41,17.723741465158664,17.716851593707965,10.438072808542609,7.278778785165357,41.083929312533
No,2013,Fall,NORTH CENTER,6,14.3184662138005,14.315998968607374,7.337201727931354,6.978797240676021,48.748237939799886
No,2013,Fall,SOUTH LAWNDALE,1,15,14.775087719298245,8.932280701754387,5.842807017543859,39.54499038210359
No,2013,Fall,UPTOWN,12,14.966635975733011,14.863250354974614,8.035066277015098,6.8281840779595155,45.94004618696459
No,2013,Fall,WASHINGTON PARK,1,15,15,8.063550232391849,6.936449767608152,46.24299845072101
No,2013,Fall,WEST TOWN,29,15.274336419562832,15.264671858802775,8.738090623160458,6.5265812356423165,42.7561188082703
No,2013,Summer,ARMOUR SQUARE,3,12.333333333333334,12.333333333333334,6.9166995369576405,5.416633796375693,43.91865240304616
No,2013,Summer,BRIDGEPORT,2,15,15,7.653285883748517,7.346714116251483,48.978094108343214
No,2013,Summer,DOUGLAS,6,13.5,13.5,8.034201397116686,5.465798602883315,40.487397058394926
No,2013,Summer,GRAND BOULEVARD,3,13.666666666666666,13.666666666666666,7.060397789668184,6.606268876998483,48.33855275852549
No,2013,Summer,HYDE PARK,2,15,15,6.335294117647059,8.66470588235294,57.76470588235294
No,2013,Summer,KENWOOD,2,15,15,10.694444444444445,4.305555555555555,28.703703703703702
No,2013,Summer,LAKE VIEW,17,17.11764705882353,16.951562660189428,7.890052503121392,9.061510157068035,53.455308744773724
No,2013,Summer,LINCOLN PARK,22,16.200477224368942,16.200470751206673,7.7538515196686,8.446619231538074,52.13810981948742
No,2013,Summer,LINCOLN SQUARE,4,14.75,14.75,6.492647058823529,8.257352941176471,55.982053838484546
No,2013,Summer,LOGAN SQUARE,6,14.333333333333334,14.333333333333334,8.026731370510381,6.306601962822953,43.99954857783455
No,2013,Summer,LOOP,20,22.07885573910567,22.07885573910567,12.858517343041873,9.220338396063795,41.760943162162604
No,2013,Summer,LOWER WEST SIDE,12,14,14,7.403498033738097,6.596501966261903,47.117871187585024
No,2013,Summer,NEAR NORTH SIDE,30,19.266638350390892,19.25808428222418,10.692385708947693,8.565698573276485,44.47845615247876
No,2013,Summer,NEAR SOUTH SIDE,8,16.5,16.5,8.522327586966886,7.977672413033114,48.34952977595827
No,2013,Summer,NEAR WEST SIDE,33,18.356292575606073,18.37176845382705,9.883716808957542,8.488051644869506,46.20160365183216
No,2013,Summer,NORTH CENTER,3,15,15,6.038152887417593,8.961847112582406,59.74564741721604
No,2013,Summer,UPTOWN,4,15,15,5.416339869281046,9.583660130718954,63.89106753812636
No,2013,Summer,WASHINGTON PARK,1,15,15,9.166666666666666,5.833333333333333,38.88888888888889
No,2013,Summer,WEST TOWN,22,15.727272727272727,15.727259780948188,8.165134814275651,7.562124966672537,48.08291509137023
No,2013,Winter,ARMOUR SQUARE,4,13,13,8.51075,4.48925,34.53269230769231
No,2013,Winter,BRIDGEPORT,7,13.285714285714286,13.263714285714286,8.465,4.7987142857142855,36.17926458867372
No,2013,Winter,DOUGLAS,9,13.222222222222221,13.222222222222221,8.445,4.777222222222222,36.13025210084034
No,2013,Winter,EDGEWATER,1,15,15,8.615,6.385,42.56666666666666
No,2013,Winter,GRAND BOULEVARD,6,14.3315,14.3315,10.2295,4.102,28.622265638628196
No,2013,Winter,HYDE PARK,5,15,14.9942,10.234,4.7602,31.74694215096504
No,2013,Winter,KENWOOD,4,14,14,9.2605,4.7395000000000005,33.853571428571435
No,2013,Winter,LAKE VIEW,34,16.389176470588236,16.358941176470587,10.846705882352941,5.512235294117647,33.695550553394085
